,Position
2017-10-04 11:10:35.147500,STATE1
2017-10-04 11:11:33.948300,STATE2a
2017-10-04 11:11:34.547900,STATE2b
2017-10-04 11:11:35.148000,STATE3
2017-10-04 11:12:33.948100,STATE4a
2017-10-04 11:12:34.547600,STATE4b
2017-10-04 11:12:35.148100,STATE1
2017-10-04 11:13:33.947200,STATE2a
2017-10-04 11:13:34.547900,STATE2b
2017-10-04 11:13:35.147300,STATE3
2017-10-04 11:14:33.947300,STATE4a
2017-10-04 11:14:34.547700,STATE4b
2017-10-04 11:14:35.148000,STATE1
2017-10-04 11:15:33.948100,STATE2a
2017-10-04 11:15:34.547400,STATE2b
2017-10-04 11:15:35.147600,STATE3
2017-10-04 11:16:33.947800,STATE4a
2017-10-04 11:16:34.548100,STATE4b
2017-10-04 11:16:35.147600,STATE1
2017-10-04 11:17:33.947400,STATE2a
2017-10-04 11:17:34.548000,STATE2b
2017-10-04 11:17:35.147500,STATE3
2017-10-04 11:18:33.947200,STATE4a
2017-10-04 11:18:34.548200,STATE4b
2017-10-04 11:18:35.148100,STATE1
2017-10-04 11:19:33.947900,STATE2a
2017-10-04 11:19:34.547500,STATE2b
2017-10-04 11:19:35.148000,STATE3
2017-10-04 11:20:33.946800,STATE4a
2017-10-04 11:20:34.546900,STATE4b
2017-10-04 11:20:35.146900,STATE1
2017-10-04 11:21:33.946500,STATE2a
2017-10-04 11:21:34.547500,STATE2b
2017-10-04 11:21:35.147100,STATE3
2017-10-04 11:22:43.947000,STATE4a
2017-10-04 11:22:44.547400,STATE4b
2017-10-04 11:22:45.146600,STATE1
2017-10-04 11:23:53.946300,STATE2a
2017-10-04 11:23:54.546700,STATE2b
2017-10-04 11:23:55.146600,STATE3
2017-10-04 11:25:03.945500,STATE4a
2017-10-04 11:25:04.545900,STATE4b
2017-10-04 11:25:05.145700,STATE1
2017-10-04 11:26:13.945500,STATE2a
2017-10-04 11:26:14.546100,STATE2b
2017-10-04 11:26:15.145900,STATE3
2017-10-04 11:27:23.946100,STATE4a
2017-10-04 11:27:24.546100,STATE4b
2017-10-04 11:27:25.145500,STATE1
2017-10-04 11:28:33.944500,STATE2a
2017-10-04 11:28:34.545200,STATE2b
2017-10-04 11:28:35.145300,STATE3
2017-10-04 11:29:43.945100,STATE4a
2017-10-04 11:29:44.544700,STATE4b
2017-10-04 11:29:45.145000,STATE1
2017-10-04 11:30:53.943600,STATE2a
2017-10-04 11:30:54.543900,STATE2b
2017-10-04 11:30:55.144600,STATE3
2017-10-04 11:32:03.943400,STATE4a
2017-10-04 11:32:04.543500,STATE4b
2017-10-04 11:32:05.144100,STATE1
2017-10-04 11:33:13.943100,STATE2a
2017-10-04 11:33:14.543500,STATE2b
2017-10-04 11:33:15.143400,STATE3
2017-10-04 11:34:23.943200,STATE4a
2017-10-04 11:34:24.542400,STATE4b
2017-10-04 11:34:25.142700,STATE1
2017-10-04 11:35:33.942000,STATE2a
2017-10-04 11:35:34.542300,STATE2b
2017-10-04 11:35:35.142500,STATE3
2017-10-04 11:36:43.942300,STATE4a
2017-10-04 11:36:44.541900,STATE4b
2017-10-04 11:36:45.142400,STATE1
2017-10-04 11:37:53.941900,STATE2a
2017-10-04 11:37:54.541800,STATE2b
2017-10-04 11:37:55.141100,STATE3
2017-10-04 11:39:03.941300,STATE4a
2017-10-04 11:39:04.540900,STATE4b
2017-10-04 11:39:05.141500,STATE1
2017-10-04 11:40:13.941100,STATE2a
2017-10-04 11:40:14.540700,STATE2b
2017-10-04 11:40:15.140300,STATE3
2017-10-04 11:41:23.939800,STATE4a
2017-10-04 11:41:24.539900,STATE4b
2017-10-04 11:41:25.140400,STATE1
2017-10-04 11:42:33.940200,STATE2a
2017-10-04 11:42:34.539300,STATE2b
2017-10-04 11:42:35.139400,STATE3
2017-10-04 11:43:43.939800,STATE4a
2017-10-04 11:43:44.539300,STATE4b
2017-10-04 11:43:45.140100,STATE1
2017-10-04 11:44:53.939500,STATE2a
2017-10-04 11:44:54.538600,STATE2b
2017-10-04 11:44:55.139500,STATE3
2017-10-04 11:46:03.938600,STATE4a
2017-10-04 11:46:04.538900,STATE4b
2017-10-04 11:46:05.138600,STATE1
2017-10-04 11:47:13.938100,STATE2a
2017-10-04 11:47:14.538500,STATE2b
2017-10-04 11:47:15.138600,STATE3
